entity id,alias,synonyms,scientific name,category,molecules
21,raspberry brandy,{'raspberry brandy'},rubus idaeus,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 5282108, 8892, 10430, 7361, 7362, 637758, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 5363817, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
22,weinbrand brandy,{'weinbrand brandy'},vitis vinifera,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 24516, 7749, 326, 61386, 460, 14286, 7762, 8025, 1119, 10976, 8038, 7654, 11902, 77932, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
23,gin,{'gin'},juniperus communis,beverage alcoholic,"{6560, 7460, 6654, 8103, 644104, 8294, 1031, 1130, 643820, 6054, 14896, 31253, 6584, 31289, 6202, 31260, 8094}"
24,rum,{'rum'},saccharum,beverage alcoholic,"{229888, 62465, 8194, 229377, 31234, 12293, 1031, 644104, 429065, 12810, 61450, 31242, 12813, 1032, 527, 31249, 31251, 31252, 5283349, 31253, 1049, 31260, 7710, 7711, 31265, 4133, 12327, 31272, 9256, 31276, 14896, 31283, 60979, 60983, 31289, 6202, 7749, 5284421, 11335, 7755, 12367, 7762, 7765, 7770, 18522, 83036, 7772, 7775, 1130, 62572, 20083, 7795, 7284, 17525, 7799, 7797, 7800, 8314, 7803, 126, 10882, 10885, 10886, 135, 8842, 62092, 10895, 61586, 8858, 1183, 5281, 9895, 679, 14505, 7341, 8365, 7342, 7344, 177, 14514, 26808, 22201, 8892, 10430, 3776, 7362, 735940, 445639, 17100, 10957, 8908, 1549521, 8914, 7895, 6874, 26334, 10976, 1549026, 16617, 7409, 11508, 11509, 11005, 18686, 7938, 11527, 264, 7945, 18698, 263, 61712, 8468, 16666, 284, 798, 11552, 12580, 7462, 7976, 12587, 3893, 5366074, 5282108, 637758, 2879, 27457, 12613, 17739, 332, 7501, 335, 170833, 338, 6998, 342, 8025, 22873, 8038, 11622, 16237, 878, 22386, 8051, 8052, 379, 569214, 16255, 13187, 12170, 18827, 6549, 2969, 8091, 8093, 8094, 6560, 6561, 6054, 8103, 12209, 62900, 16821, 7095, 6584, 853433, 8122, 957, 6590, 8129, 12230, 454, 61384, 5318599, 61386, 8139, 460, 8655, 24020, 14296, 985, 61400, 8158, 8159, 637920, 11747, 8163, 7655, 7144, 12777, 7658, 12266, 8180, 31225, 31226, 6654}"
25,whisky,{'whisky'},maize,beverage alcoholic,"{62465, 8193, 12293, 644104, 1032, 31242, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 31289, 6202, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 612, 1130, 519786, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 342, 8038, 19310, 379, 569214, 16255, 14228, 8094, 6560, 6561, 6054, 8103, 6584, 8122, 957, 6590, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
26,bourbon whisky,{'bourbon whisky'},corn,beverage alcoholic,"{62465, 8193, 12293, 1031, 1032, 31242, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 14896, 7728, 31283, 31289, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 612, 519786, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 7895, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 264, 7945, 18698, 8468, 284, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 342, 8038, 19310, 379, 569214, 16255, 14228, 8094, 6560, 6561, 6054, 8103, 62900, 6584, 8122, 957, 6590, 8129, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 7144, 62445, 8174, 8180, 7165, 6654}"
27,canadian whisky,{'canadian whisky'},corn,beverage alcoholic,"{62465, 8193, 12293, 1032, 31242, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 31289, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 612, 519786, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 342, 8038, 19310, 379, 569214, 16255, 14228, 8094, 6560, 6561, 6054, 8103, 6584, 8122, 957, 6590, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
28,finnish whisky,{'finnish whisky'},maize,beverage alcoholic,"{62465, 8193, 12293, 1032, 31242, 527, 31249, 31251, 31252, 73750, 1049, 31260, 7710, 7711, 31265, 31268, 12327, 31276, 7728, 31283, 31289, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 612, 519786, 1136, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 798, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 342, 8038, 19310, 379, 569214, 16255, 7047, 7059, 14228, 8094, 6560, 6561, 6054, 8103, 520108, 6584, 8122, 957, 6590, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
29,japanese whisky,{'japanese whisky'},maize,beverage alcoholic,"{62465, 8193, 12293, 1032, 31242, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 31289, 638014, 7749, 5284421, 11335, 10823, 12366, 7762, 7765, 61015, 612, 519786, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 177, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 6943, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 6998, 342, 8038, 19310, 379, 569214, 16255, 7047, 7059, 14228, 8094, 6560, 6561, 6054, 8103, 6584, 8122, 957, 6590, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
30,malt whisky,{'malt whisky'},maize,beverage alcoholic,"{62465, 8193, 12293, 1031, 1032, 31242, 85519, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 7222, 31289, 638014, 7749, 5284421, 11335, 10823, 12366, 12367, 7761, 7762, 8785, 7765, 61015, 7775, 7267, 612, 519786, 7797, 7799, 7800, 1146, 7803, 8314, 637566, 10882, 10883, 24197, 650, 62092, 445070, 61586, 61592, 1183, 5281, 8365, 7342, 7344, 14514, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 18635, 8908, 10448, 61137, 26331, 26334, 61663, 61664, 16617, 3314, 11508, 11005, 14079, 61185, 7938, 7937, 7945, 8468, 284, 12580, 7976, 3893, 5366074, 25915, 5282108, 7997, 12613, 17739, 7501, 335, 342, 8038, 19310, 8051, 379, 569214, 16255, 13187, 14228, 8094, 6560, 6561, 6054, 8103, 12209, 6584, 8122, 957, 6590, 12230, 61384, 61386, 460, 8655, 24020, 14296, 985, 8158, 8159, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
