entity id,alias,synonyms,scientific name,category,molecules
107,geranium,{'cranesbills'},geranium,essential oil,"{9862, 650, 5362579, 10402, 61092, 61093, 6054, 8103, 1068, 5282109, 10430, 10819, 5367752, 6986, 170833, 27866, 5365850, 5321950, 8158, 61665, 1549026, 7778, 5367785, 81263, 20083}"
108,grapefruit peel oil,{'grapefruit peel oil'},citrus,essential oil,"{15394, 8164, 16617, 102667, 62350, 1268142, 8914, 9855795, 102611, 8500, 9017, 10362, 379}"
109,grass,"{'bluestem grass,â\xa0broomsedge'}",andropogon,essential oil,"{6986, 379}"
110,hops oil,{'hops oil'},humulus lupulus,essential oil,"{8194, 5283335, 31253, 10795, 1068, 15406, 14896, 93236, 31291, 5366844, 638014, 10819, 5284421, 440917, 15448, 7772, 61020, 519786, 20083, 8314, 637564, 9862, 8842, 445070, 10895, 7824, 7826, 8858, 5284507, 5281, 61096, 7351, 8892, 46779070, 10430, 3776, 445639, 5324489, 18635, 17100, 8914, 102611, 7894, 7895, 5365982, 10976, 1549025, 1549026, 7909, 5365991, 643820, 12020, 15606, 75515, 11005, 65285, 102667, 5281553, 12571, 11552, 7460, 12587, 61743, 5364532, 3893, 5366074, 5282109, 12613, 5355853, 10582, 5364578, 11622, 878, 19310, 22386, 8051, 6086514, 61303, 379, 13187, 7559, 18827, 5281168, 5282708, 2969, 5318042, 8091, 8093, 8094, 6560, 6561, 11173, 6054, 5282726, 6590, 8129, 454, 12232, 8139, 985, 8158, 8163, 16872, 62444, 62445, 7150, 8186, 6654}"
111,hyacinth,"{'common hyacinth', 'dutch hyacinth', 'garden hyacinth'}",hyacinthus orientalis,essential oil,"{8129, 8130, 6054, 2345, 6826, 240, 8785, 243, 5315892, 7127, 9016}"
112,hyssop oil,{'hyssop oil'},hyssopus officinalis,essential oil,"{5356544, 644104, 527, 8723, 31253, 522266, 31260, 8222, 160799, 15394, 4133, 6184, 439341, 14896, 5365811, 84532, 5320250, 638011, 638014, 61503, 8768, 637511, 72, 440917, 1110, 5280343, 61020, 5280863, 12389, 637542, 107, 92780, 6251, 21159022, 8815, 7284, 7288, 444539, 10364, 637566, 126, 12306048, 442501, 9862, 440967, 650, 33931, 441484, 445070, 6432404, 5284503, 10393, 8857, 5284507, 1183, 7847, 441005, 6508206, 64685, 7858, 4788, 180, 5280443, 5363388, 5280445, 7362, 643779, 2758, 11463, 61126, 61130, 18635, 10448, 91354, 1549026, 5281515, 643820, 439533, 240, 244, 11509, 247, 6918391, 5280511, 768, 8452, 11527, 102667, 784, 5281553, 8468, 798, 5284639, 11038, 11552, 802, 7460, 7461, 7462, 22311, 7463, 2345, 6448, 5315892, 5366074, 11583, 323, 638278, 326, 6986, 6989, 61262, 637775, 159055, 26447, 338, 10582, 5280598, 13144, 1889, 643941, 878, 261491, 121719, 11128, 18818, 11142, 18827, 6549, 5318042, 6561, 6050, 6054, 5367719, 6569, 5281708, 6072, 853433, 79803, 111037, 26049, 8130, 107971, 454, 246728, 17868, 439246, 1549778, 92116, 7127, 6616, 11230, 439263, 8158, 6427105, 7654, 999, 998, 92138, 7150, 89594, 6654}"
113,lemon grass,"{'citronella grass', 'barbed wire grass', 'fever grass', 'silky heads'}",cymbopogon citratus,essential oil,"{644104, 527, 8723, 31253, 31260, 15394, 6184, 439341, 5365811, 638011, 61503, 8768, 637511, 72, 27209, 1110, 5280343, 61020, 5280863, 8294, 637542, 1130, 107, 6251, 7794, 7284, 7288, 444539, 637566, 126, 442501, 9862, 8842, 33931, 441484, 650, 445070, 5284503, 10393, 8857, 1183, 10402, 7847, 441005, 7858, 4788, 180, 5280443, 8892, 5363388, 10430, 5280445, 7362, 643779, 2758, 18635, 10448, 1549026, 5281515, 643820, 439533, 240, 244, 11509, 247, 5280511, 768, 8452, 20745, 784, 443158, 798, 5284639, 11552, 802, 22311, 2345, 5315892, 9017, 323, 638278, 6986, 637775, 26447, 170833, 338, 5280598, 13144, 1889, 643941, 1713001, 878, 101750, 11128, 379, 5275520, 6549, 5318042, 6561, 6050, 6054, 5367719, 6569, 5281708, 6072, 853433, 79803, 8130, 107971, 454, 439246, 1549778, 439263, 7654, 999, 998, 7150, 8175, 89594, 61435, 6654}"
114,lemon peel oil,{'lemon peel oil'},citrus,essential oil,"{8194, 13187, 13576, 5281929, 8205, 62350, 16666, 7463, 61098, 64685, 61362, 61235, 5315892, 9855795, 9017, 638014, 14529, 26049, 326, 6986, 460, 5355853, 11468, 159055, 61780, 61016, 985, 1549025, 8164, 6430188, 7792, 7794, 8180, 27892, 5352438, 379}"
115,lime peel oil,{'lime peel oil'},citrus ã— aurantiifolia,essential oil,"{26049, 6949, 9862, 5363526, 11463, 5281515, 11468, 64685, 61040, 61362, 522514, 11509, 10582, 61016, 16441, 10106}"
116,lovage,{'lovage'},levisticum officinale,essential oil,"{8194, 644104, 5352461, 527, 4114, 8723, 31253, 31260, 15394, 6184, 60968, 439341, 14896, 5365811, 31289, 638011, 61503, 8768, 637511, 72, 1110, 5280343, 61020, 5280863, 7778, 8294, 637542, 107, 6251, 7794, 7284, 7288, 444539, 637563, 10364, 637566, 126, 442501, 9862, 650, 33931, 441484, 445070, 5362830, 6432404, 5284503, 10393, 8857, 1183, 5373603, 7847, 441005, 64685, 7858, 4788, 4276, 180, 11449, 5280443, 5363388, 5317309, 10430, 5280445, 519361, 7362, 643779, 2758, 11463, 18635, 17100, 8908, 10448, 1549025, 1549026, 17129, 439533, 240, 244, 11509, 12020, 247, 6918391, 5280511, 768, 8452, 7439, 784, 5281553, 173843, 16666, 798, 5284639, 11552, 802, 7460, 7461, 7462, 22311, 7463, 2345, 6949, 5315892, 323, 325, 638278, 642376, 6986, 643915, 332, 6989, 637775, 159055, 5354833, 338, 26447, 10582, 5280598, 13144, 1889, 643941, 878, 5281654, 11128, 8063, 11142, 5281167, 5281168, 6549, 5318042, 8093, 6560, 6561, 6050, 10659, 6054, 5367719, 8103, 6569, 5281708, 61361, 7095, 6072, 853433, 79803, 957, 111037, 26049, 8130, 107971, 454, 439246, 7127, 6616, 11230, 439263, 7654, 999, 998, 92139, 7150, 442355, 5352438, 89594, 6654}"
117,mandarin orange peel oil,{'mandarin orange peel oil'},citrus,essential oil,"{8205, 62350, 8094, 62367, 798, 10402, 527144, 6826, 3893, 14529, 26049, 325, 326, 17100, 5355853, 10582, 8164, 5281516, 8175, 8180, 244, 520440, 5281535}"
118,mastic gum,"{'yemen gum', 'arabic gum', 'tears of chios'}",pistacia lentiscus,essential oil,"{13187, 9862, 19602, 5367706, 5284507, 8093, 6560, 31265, 7460, 14896, 61362, 31283, 8500, 31289, 16441, 111037, 5362623, 14529, 10819, 12613, 454, 61126, 326, 325, 61130, 11468, 6989, 12366, 637776, 170833, 107217, 10582, 7127, 6998, 381152, 1549025, 10976, 8163, 8419, 33637, 8294, 16617, 643820, 7795, 7799, 10106, 6321405, 6654, 16255}"
119,mentha oil,{'mentha oil'},mentha spicata l.,essential oil,"{5367681, 24838, 11527, 13576, 8842, 18827, 62350, 7439, 5281553, 31253, 521238, 6549, 16666, 62367, 11552, 7460, 7462, 30248, 12072, 10282, 442495, 14511, 11567, 61362, 7476, 8500, 31289, 246728, 6986, 17100, 5365069, 34645, 6998, 381152, 17121, 1549025, 996, 8294, 999, 643820, 6654, 329983}"
120,myrrh,{'myrrh'},commiphora,essential oil,"{637566, 643820, 2758}"
121,neroli oil,{'neroli oil'},bitter orange,essential oil,"{1549025, 7362, 6054, 999, 6654, 998, 8294, 17100, 643820, 8175, 243, 244, 8635, 5284507, 798}"
122,orange oil,"{'bigarade orange', 'seville orange', 'sour orange', 'marmalade orange'}",citrus,essential oil,"{7945, 62350, 5283345, 7194, 5283361, 15394, 7460, 6054, 6826, 64685, 7983, 9855795, 8635, 5282108, 111037, 2879, 26049, 326, 61130, 5355853, 159055, 637776, 7765, 22873, 6877, 11230, 5352543, 61665, 8164, 998, 61293, 12020, 8184, 1146}"
123,orris,{'orris'},iris germanica,essential oil,"{5283335, 637566, 8139, 8175, 240, 177, 15606, 31289, 5371002, 8158}"
124,clary sage,{'clary'},salvia,essential oil,"{261, 9862, 527, 19602, 522514, 31253, 6549, 798, 107166, 11552, 6561, 4133, 6054, 14896, 177, 6584, 31289, 638011, 957, 638014, 111037, 3776, 14529, 8130, 454, 6654, 246728, 2758, 17100, 8908, 8914, 61665, 1549026, 1549025, 7909, 8294, 643820, 929262, 61040, 7284, 6321405, 637566, 8063}"
125,red sage,"{'red-sage', 'wild-sage', 'big-sage'}",lantana,essential oil,"{4133, 7909, 998, 12366, 240, 1549778, 8186}"
126,spanish sage,{'spanish sage'},salvia,essential oil,"{14529, 637566, 5355853, 6989, 14896, 6086514, 111037, 6654}"
127,sandalwood,{'sandalwood'},santalum,essential oil,"{7362, 62453}"
128,sea buckthorns,"{'sallowthorn', 'sandthorn', 'seaberry'}",hippophae rhamnoides,berry,"{12293, 644104, 527, 8723, 7193, 7194, 31260, 15394, 5280804, 6184, 439341, 5365811, 638011, 61503, 8768, 637511, 72, 72276, 1110, 5280343, 61020, 5280863, 7775, 637542, 6251, 107, 7284, 7288, 444539, 637566, 126, 9862, 520326, 650, 33931, 441484, 445070, 21648, 5284503, 8857, 10393, 1183, 7847, 441005, 7858, 4788, 180, 5280443, 5363388, 5280445, 643779, 18635, 17100, 10448, 25310, 1549026, 439533, 240, 244, 11509, 247, 5280511, 768, 8452, 784, 8468, 798, 5284639, 11552, 802, 2345, 5315892, 637758, 323, 638278, 6986, 26447, 637775, 338, 5280598, 13144, 1889, 643941, 9064, 878, 8052, 5281654, 11128, 16255, 5367681, 5318042, 6561, 6050, 6054, 5367719, 6569, 5281708, 6072, 853433, 79803, 8130, 107971, 454, 61384, 61386, 446925, 439246, 439263, 7654, 999, 998, 7150, 89594}"
129,sweet grass,"{'holy grass', 'manna grass', 'vanilla grass', ""mary's grass"", 'bison grass'}",hierochloe odorata,essential oil,"{14529, 4133, 5284421, 998, 27209, 6986, 642793, 6989, 6544, 61041, 12178, 61362, 11509, 61206, 31289, 5283324, 11005, 7710, 442495}"
130,valerian,"{'garden valerian', 'setwall', 'garden heliotrope', 'all-heal'}",valeriana officinalis,essential oil,"{60968, 264, 518472, 527498, 6448, 6086514, 3085213, 10430, 100031}"
131,wattle,"{'needle bush', 'sponge wattle', 'cassie', 'sweet acacia', 'thorny acacia', 'cassic', 'wild briar', 'mimosa wattle', 'mimosa bush', 'cascalotte', 'farnese wattle', 'dead finish', 'prickly mimosa bush', 'thorny feather wattle', 'huisache', 'prickly moses'}",vachellia,essential oil,"{326, 577126, 637566, 31244, 445070, 8175, 3314, 5284507, 5282108, 8094, 2879}"
132,yarrow,"{'plumajillo gordaldo', 'nosebleed plant', 'thousand-leaf', 'milfoil', 'thousand-seal', ""soldier's woundwort"", ""old man's pepper"", 'sanguinary', ""devil's nettle""}",achillea,essential oil,{6654}
133,ylang-ylang,{'ylang-ylang'},cananga,essential oil,"{445070, 14489, 5284507, 4133, 6054, 2345, 7731, 853433, 8635, 2879, 7362, 8130, 8785, 637796, 7144, 643820, 7150, 243, 244, 31353, 637566}"
134,clam,{'clam'},mollusca,seafood,"{8193, 8194, 13187, 9862, 7302, 1031, 18827, 5281168, 19602, 1049, 8093, 798, 11552, 32033, 15394, 7720, 7976, 1068, 9261, 14511, 14896, 8369, 14079, 31284, 61240, 31289, 22201, 79803, 26808, 957, 8892, 3776, 7361, 8129, 12097, 454, 10823, 12232, 6986, 8785, 1549778, 8914, 14296, 8027, 32093, 26334, 8158, 8163, 1123, 7909, 998, 11747, 996, 379, 7284, 12020, 61814, 5283321, 19707, 6654, 8063}"
135,crab,{'crab'},crustacean,seafood,"{8193, 5311110, 1146, 644104, 18827, 19602, 1049, 8093, 8094, 798, 11552, 5281, 6054, 7720, 9256, 1068, 14079, 26808, 6202, 3776, 8129, 454, 12232, 7501, 8914, 7895, 14296, 7519, 996, 7909, 1130, 878, 8051, 11509, 247, 18938, 11005, 8063}"
136,crayfish,{'crawfish'},crustacean,seafood,"{13187, 644104, 1049, 31260, 8093, 8094, 11552, 9256, 7976, 14896, 61235, 5364919, 26808, 6202, 957, 8129, 27457, 454, 12232, 18635, 7501, 8914, 7002, 8027, 26331, 8163, 996, 1130, 8051, 8184, 5283321, 6654}"
137,kelp,{'kelp'},kelp,seafood,"{8194, 644104, 527, 8723, 31260, 15394, 6184, 439341, 5365811, 7222, 638011, 61503, 8768, 637511, 72, 1110, 61020, 5280863, 637542, 1130, 6251, 107, 7284, 7288, 444539, 637566, 126, 9862, 650, 33931, 441484, 445070, 643731, 5284503, 8857, 10393, 1183, 7847, 441005, 7858, 4788, 180, 5280443, 5363388, 5280445, 643779, 445639, 18635, 5364941, 10448, 1549026, 439533, 240, 244, 11509, 247, 11005, 5280511, 768, 8452, 11527, 784, 798, 5284639, 11552, 802, 2345, 5315892, 323, 638278, 6986, 26447, 637775, 338, 5280598, 13144, 1889, 643941, 878, 11128, 18827, 5318042, 6561, 6050, 6054, 5367719, 8103, 6569, 5281708, 6072, 853433, 79803, 8130, 107971, 454, 5318599, 439246, 985, 439263, 7654, 999, 998, 7150, 89594}"
138,krill,{'krill'},crustacean,seafood,"{13187, 18827, 527, 61845, 8093, 6560, 520098, 18467, 5352876, 1068, 62510, 24115, 26808, 10823, 12232, 18635, 5321950, 61663, 17898, 61295, 61303, 1146}"
139,lobster,"{'lobster', 'clawed lobster'}",crustacean,seafood,"{454, 644104, 1130, 15380, 6202, 8094}"
140,mollusc,{'mollusc'},mollusca,seafood,"{7749, 644104, 7945, 429065, 1130, 1032, 8139, 12587, 7826, 7762, 11124, 8158, 31284, 10430, 8025, 6202, 8091, 8892, 31260, 8094}"
141,oyster,{'oyster'},mollusca,seafood,"{644104, 1032, 18827, 527, 5364752, 7824, 643731, 31260, 8094, 15394, 679, 5352876, 1068, 31289, 6202, 957, 12097, 454, 12232, 5319754, 8914, 1123, 11747, 1130, 8051, 12020, 8184, 5283321, 1146}"
142,prawn,{'prawn'},crustacean,seafood,{15380}
143,scallop,{'scallop'},mollusca,seafood,"{8194, 13187, 7302, 1146, 644104, 1032, 18827, 1049, 31260, 8094, 11552, 6561, 62510, 14079, 3893, 26808, 31289, 22201, 31291, 8892, 6590, 7359, 30914, 12232, 18635, 1549778, 14296, 32093, 8158, 1123, 1130, 878, 240, 7284, 8180, 12020, 8314, 379, 637564, 11005, 8063}"
144,shellfish,{'shellfish'},mollusca,seafood,"{57346909, 19310}"
145,shrimp,{'shrimp'},crustacean,seafood,"{13187, 5311110, 1146, 644104, 13576, 18698, 18827, 5365004, 636687, 19602, 402, 31252, 1049, 8858, 7707, 31260, 8093, 798, 8094, 6560, 5281, 7710, 32033, 6561, 6054, 679, 62374, 5352876, 9261, 62510, 1068, 7728, 31284, 9016, 22201, 6202, 25915, 31289, 6590, 10430, 7361, 27457, 12097, 5363140, 454, 10823, 12232, 18635, 12748, 78925, 10448, 61653, 7895, 14296, 8027, 26331, 5321950, 26334, 637920, 61663, 8158, 8163, 1123, 11747, 996, 1130, 62444, 878, 240, 22386, 8051, 12020, 7802, 379, 11005, 8063}"
146,trassi,{'trassi'},crustacean,seafood,"{13187, 61700, 31245, 636687, 5364752, 141850, 8093, 5363229, 1068, 26808, 31291, 10430, 12097, 454, 246728, 12232, 7501, 6736, 7895, 14296, 7002, 996, 7909, 998, 878, 7284, 8314, 20861}"
147,squid,{'squid'},cephalopod,seafood,"{644104, 402, 1049, 798, 6561, 7976, 14514, 26808, 22201, 79803, 10823, 12232, 6736, 8027, 26334, 996, 1130, 19310, 878, 7284, 1146, 11005}"
148,bonito,"{'okaka', 'bonito flakes', 'katsuobushi'}",skipjack tuna,fish,"{7043, 13187, 9862, 11527, 7047, 644104, 12170, 61712, 643731, 62484, 6429333, 7702, 5144, 61209, 1049, 17691, 125468, 240925, 6943, 6560, 12578, 9256, 12587, 5352876, 1068, 14511, 524975, 8369, 8500, 31291, 6590, 11335, 5318599, 6985, 10823, 18635, 460, 17739, 6736, 637776, 7249, 20819, 8405, 61653, 14296, 18522, 7267, 612, 996, 11622, 998, 7144, 1001, 1130, 7148, 7150, 878, 62453, 11902, 14079}"
149,caviar,{'caviar'},fish,fish,"{5283329, 8194, 13187, 1616260, 1146, 5283335, 5283339, 527, 5364752, 8082, 5283349, 1049, 8093, 6561, 31268, 8007, 7894, 7895, 5283324, 8163, 8051, 5283316, 5283321, 8186, 637564, 8063}"
150,codfish,{'codfish'},gadus,fish,"{1123, 644104, 1130, 402, 247, 6202, 8094}"
151,fish,{'fish'},fish,fish,"{5283329, 1146, 11527, 18827, 5281168, 19602, 643731, 5283349, 141850, 284, 5283356, 8094, 31260, 5363229, 5362720, 61346, 31268, 6184, 12587, 5352876, 1068, 3893, 31289, 11449, 8892, 957, 6590, 10430, 7362, 454, 8007, 246728, 12232, 5319754, 5962, 7895, 5283324, 1123, 996, 876, 878, 8051, 12020, 8186, 379, 637564, 11005}"
152,fatty fish,{'fatty fish'},fish,fish,"{8194, 13187, 1146, 1031, 1032, 527, 5364752, 402, 8082, 1049, 8093, 1183, 11552, 5281, 6561, 31268, 8103, 524975, 14896, 14514, 26808, 853433, 12097, 11335, 6736, 7249, 985, 637920, 8163, 11747, 7267, 1001, 34286, 7284, 5283316, 8186, 6654, 8063}"
153,lean fish,{'lean fish'},fish,fish,"{1183, 5281, 15394, 62465, 11552, 7267, 1032, 5362792, 31242, 875, 444972, 7501, 8175, 636687, 7284, 5283321, 7802, 2879}"
154,fish oil,{'fish oil'},fish,fish,"{90246, 1031, 5283335, 5281168, 19602, 643731, 15380, 73750, 8094, 798, 6560, 15394, 5352876, 93236, 46779070, 454, 7501, 996, 62444, 12020, 7802, 75515, 8063}"
155,smoked fish,{'smoked fish'},fish,fish,"{62465, 18522, 7144, 7976, 31242, 17739, 460, 332, 3314, 12020, 31284, 8500, 5283321, 18554, 25915}"
156,salmon,{'salmon'},ray finned fish,fish,"{5283329, 1130, 5283339, 5364752, 61712, 5283321}"
157,artichoke,{'globe artichoke'},cynara,flower,"{644104, 527, 8723, 31260, 15394, 6184, 439341, 5365811, 31289, 6202, 638011, 61503, 8768, 637511, 72, 1110, 61020, 5280863, 637542, 1130, 6251, 107, 7284, 7288, 444539, 637566, 99967, 126, 9862, 650, 33931, 441484, 445070, 5284503, 8857, 10393, 1183, 7847, 441005, 7858, 4788, 180, 5280443, 5363388, 5280445, 643779, 85704, 18635, 10448, 1549026, 439533, 240, 244, 11509, 247, 5280511, 768, 8452, 784, 798, 5284639, 11552, 802, 2345, 5315892, 323, 638278, 6986, 26447, 637775, 338, 5280598, 13144, 1889, 643941, 878, 11128, 181128, 5281168, 5318042, 8094, 6561, 61346, 6050, 6054, 5367719, 6569, 5281708, 6072, 853433, 79803, 8130, 107971, 454, 439246, 439263, 7654, 999, 998, 7150, 89594}"
158,champaca,{'champak'},magnolia,flower,"{5362819, 13026600, 643820, 17623, 162458, 8635, 637566}"
159,jasmine,{'jasmine'},jasminum officinale,flower,"{92043553, 8294, 7144, 5281929, 637566, 637195, 643820, 102861, 5352973, 8785, 5352626, 244, 6549, 1549018, 8635, 5284507, 798, 2879}"
160,lavendar,{'lavendar'},lavandula angustifolia,flower,"{6532, 11527, 264, 3033866, 18827, 650, 7439, 12178, 78484, 12578, 8103, 61098, 64685, 6448, 180, 16441, 8892, 10430, 7362, 323, 10819, 325, 454, 6654, 246728, 2758, 17100, 159055, 5355856, 102611, 11230, 8158, 1549026, 8294, 16872, 643820, 8175, 61040, 62321, 7794, 20083, 27892, 17525, 5370101, 8314, 637566}"
161,rose,{'rose'},rosa,flower,"{14529, 8130, 24197, 454, 999, 6054, 998, 7127, 84825, 31289, 7194, 31260, 5366077, 8063}"
162,apple,{'apple'},malus,fruit,"{8193, 8194, 229377, 12293, 12294, 1031, 644104, 429065, 1032, 31246, 85519, 527, 31249, 31251, 8723, 5372954, 31260, 31265, 7714, 15394, 31268, 5280804, 12327, 65064, 31272, 6184, 31276, 439341, 13357, 31278, 14896, 5365811, 31284, 31289, 6202, 638011, 65084, 12348, 61503, 8768, 643139, 7749, 5284421, 637511, 72, 12367, 8785, 7762, 72276, 72277, 1110, 61015, 5280343, 7765, 15448, 602, 21596, 7772, 7770, 7775, 5280863, 61020, 612, 637542, 61030, 440936, 1130, 107, 6251, 8815, 12401, 7795, 5367412, 7797, 20083, 7284, 7799, 17525, 8314, 7802, 7803, 444539, 126, 637566, 7800, 7288, 10882, 62592, 10885, 9862, 135, 10886, 520326, 8842, 10890, 441484, 33931, 650, 10895, 7824, 445070, 5780, 5284503, 10393, 8857, 1183, 5281, 679, 7847, 441005, 7342, 5364399, 7344, 6436017, 177, 179, 4788, 7858, 180, 7353, 5280443, 8892, 5363388, 702, 10430, 3776, 7361, 14529, 643779, 7362, 6341, 5280445, 445639, 5324489, 18635, 17100, 10957, 8908, 10448, 61137, 8914, 8918, 7895, 7894, 10976, 8186, 1549026, 16617, 17129, 7915, 5281516, 439533, 2733294, 240, 753, 12529, 243, 244, 11508, 11509, 247, 15606, 61177, 6321405, 5280511, 14079, 768, 61185, 6915, 8452, 261, 24838, 11527, 263, 11529, 6405, 784, 8468, 11543, 12571, 284, 798, 11039, 11552, 5284639, 802, 2345, 12587, 7983, 5315892, 3893, 7991, 5366074, 7997, 12097, 5352770, 323, 638278, 6986, 332, 7501, 637775, 26447, 338, 8021, 13654, 5280598, 13144, 8025, 7002, 22873, 11614, 7519, 1889, 643941, 8038, 9064, 878, 8048, 24433, 22386, 880, 8052, 61812, 5281654, 78199, 11128, 379, 8060, 569214, 8063, 16255, 107905, 5352837, 88454, 8073, 5281162, 5281168, 5282707, 12180, 6549, 14228, 11160, 2969, 5318042, 8091, 8093, 8094, 6560, 6561, 6050, 6054, 5367719, 6568, 8103, 7590, 6569, 5281708, 12206, 12209, 6584, 853433, 6072, 79803, 957, 6590, 222656, 8129, 8130, 107971, 454, 5318599, 8139, 439246, 12756, 24020, 11732, 985, 11230, 8159, 439263, 8158, 7654, 998, 999, 16872, 8167, 68077, 8174, 7150, 8175, 7664, 8180, 62453, 12278, 5352438, 8184, 89594, 7165, 6654}"
163,apple sauce,{'apple sauce'},malus,fruit,{5311110}
164,apricot,"{'armenia', ' zardalu'}",prunus,fruit,"{12293, 12294, 1031, 644104, 12810, 12813, 527, 8723, 31253, 7704, 31260, 7710, 7714, 15394, 5280804, 6184, 65064, 12844, 439341, 13357, 31276, 14896, 31283, 5365811, 7222, 31289, 6202, 638011, 31291, 65084, 638014, 61503, 8768, 637511, 72, 8785, 72276, 72277, 1110, 5280343, 7770, 61020, 5280863, 7775, 637542, 17000, 1130, 6251, 107, 7795, 7284, 17525, 7797, 7799, 7288, 8314, 7803, 637564, 444539, 637566, 126, 10882, 442501, 10886, 9862, 10885, 650, 33931, 441484, 445070, 10895, 7824, 5780, 5284503, 8857, 10393, 1183, 9895, 7847, 441005, 7342, 7344, 7858, 4788, 180, 7351, 7353, 5280443, 5363388, 5280445, 14529, 7362, 23235, 643779, 11463, 18635, 17100, 8908, 10448, 8914, 102611, 519382, 7895, 1549018, 1549026, 16617, 17129, 643820, 439533, 2733294, 240, 243, 244, 11509, 12020, 247, 11005, 5280511, 768, 61184, 8452, 24838, 264, 784, 8468, 798, 5284639, 11552, 802, 7460, 22311, 7463, 2345, 7981, 5315892, 3893, 5366074, 5282108, 7997, 323, 638278, 6986, 5365069, 26447, 637775, 159055, 338, 5280598, 13144, 22873, 61275, 1889, 643941, 8038, 9064, 875, 878, 11128, 10106, 8063, 107905, 88454, 5281168, 12178, 12180, 14228, 6549, 2969, 5318042, 8091, 8093, 8094, 6560, 6561, 6050, 6054, 5367719, 6569, 5281708, 12209, 16821, 6072, 853433, 79803, 957, 6590, 8130, 107971, 454, 446925, 439246, 12756, 11230, 8159, 439263, 996, 7654, 999, 16872, 998, 12777, 7150, 8175, 5352438, 12278, 89594, 6654}"
165,avocado,"{'avocado pear', 'alligator pear'}",persea,fruit,"{644104, 527, 8723, 1049, 31260, 7710, 15394, 6184, 65064, 7720, 439341, 24115, 5365811, 31289, 6202, 638011, 65084, 61503, 8768, 5284421, 637511, 72, 637520, 72276, 72277, 1110, 5280343, 61020, 5280863, 8294, 637542, 1130, 107, 6251, 8815, 7284, 7288, 444539, 637563, 637566, 126, 9862, 650, 33931, 441484, 445070, 19602, 5284503, 10393, 8857, 1183, 5281, 7847, 441005, 6436017, 7858, 4788, 180, 5280443, 5363388, 5280445, 643779, 445639, 18635, 17100, 10448, 1549026, 439533, 240, 244, 11509, 247, 5280511, 768, 8452, 784, 16666, 798, 5284639, 11552, 802, 2345, 5315892, 7991, 323, 638278, 6986, 637775, 26447, 338, 5280598, 13144, 1889, 643941, 9064, 875, 878, 8052, 11128, 8063, 107905, 62341, 5281168, 5318042, 8094, 6560, 6561, 6050, 11173, 6054, 5367719, 8103, 6569, 5281708, 6072, 853433, 79803, 957, 8130, 107971, 454, 460, 439246, 1491, 985, 439263, 996, 7654, 999, 998, 7150, 8175, 5283321, 89594}"
166,babaco,{'babaco'},vasconcellea,fruit,"{62592, 61024, 8130, 228769, 8868, 5363269, 24838, 5352162, 5365992, 61386, 8139, 7824, 5355856, 13204, 12344, 8635, 5352543}"
167,banana,{'banana'},musa,fruit,"{8193, 12294, 1031, 644104, 1032, 61455, 527, 8723, 31251, 5144, 5319706, 31260, 15394, 6184, 65064, 31276, 439341, 49, 5365811, 31284, 6202, 638011, 65084, 61503, 8768, 21057, 643139, 5284421, 70, 637511, 72, 12367, 7762, 72276, 72277, 1110, 5280343, 529496, 15448, 7770, 61020, 5280863, 7775, 637542, 1130, 6251, 107, 519786, 20083, 7795, 7284, 17525, 7288, 61048, 7802, 444539, 637566, 126, 10882, 6276, 10885, 9862, 520326, 650, 33931, 441484, 445070, 5284503, 8857, 10393, 1183, 5281, 7847, 638122, 441005, 7342, 7858, 4788, 180, 226486, 7351, 7353, 5280443, 5363388, 5280445, 702, 3776, 643779, 445639, 18635, 8908, 10448, 61137, 7894, 7895, 10976, 641248, 1549026, 16617, 7915, 439533, 2733294, 240, 244, 11509, 15606, 247, 12020, 11514, 11005, 5280511, 11520, 43263, 768, 6915, 8452, 24838, 11527, 13576, 784, 5366038, 798, 11039, 5284639, 11552, 802, 5364519, 2345, 7981, 7983, 61235, 5315892, 7991, 7997, 323, 5463875, 12613, 638278, 6986, 26447, 637775, 338, 5280598, 13144, 22873, 1889, 643941, 8038, 9064, 878, 8048, 22386, 8051, 11128, 379, 16255, 8063, 107905, 13187, 5352837, 18827, 5281168, 12178, 5282707, 14228, 11160, 5318042, 8093, 8094, 6560, 6561, 6050, 6054, 5367719, 11176, 8103, 6569, 5281708, 522676, 6584, 6072, 853433, 79803, 957, 6590, 8129, 8130, 107971, 454, 246728, 8139, 439246, 985, 8158, 8159, 439263, 8163, 7654, 999, 998, 7150, 8180, 12278, 8184, 89594, 7165}"
168,beli,"{'bengal quince', 'japanese bitter orange', 'golden apple', 'wood apple', 'bael'}",aegle marmelos,fruit,"{637520, 30771, 5352543}"
169,byrsonima crassifolia,"{'changunga', 'savanna serret', 'serrette', 'nanche', 'golden spoon'}",byrsonima,fruit,{5364578}
170,cashew apple,{'cashew apple'},anacardium,fruit,"{6274, 13357, 7150, 7824, 7795, 10430, 560255}"
